Character,Original voice actor,Animated debut
Hoonah,Tress MacNeille[24],Brother Bear 2
Hooty,Alex Hirsch,The Owl House
"Hopediah ""Hop Pop"" Plantar",Bill Farmer,Amphibia
Horace,Greg Cipes,Kick Buttowski: Suburban Daredevil
Horace & Jasper,Frederick Worlock[18]J. Pat O'Malley[18],101 Dalmatians
Horace Horsecollar,Walt DisneyBill Farmer,The Plow Boy
The Horned King,John Hurt[48],The Black Cauldron
Howard Handupme,Kevin Clash,Dinosaurs
Howard Weinerman,Andrew Caldwell,Randy Cunningham: 9th Grade Ninja
Huey,Clarence NashRussi Taylor,Donald's Nephews
Hugo,Jason Alexander[4],The Hunchback of Notre Dame
Humbert the Huntsman,Stuart Buchanan[33],Snow White and the Seven Dwarfs
Humphrey the Bear,Jimmy MacDonaldJim Cummings,Hold That Pose
Humphrey Westwood,Wallace Shawn,Amphibia
Hunter,Zeno Robinson,The Owl House
Hyacinth Hippo,Tress MacNeille,Fantasia
Iago,Gilbert Gottfried[3],Aladdin
